date,ebene1,ebene2,ebene3,bestand,fluss
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,200.3,
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,204.7,
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,212.7,
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,219.8,
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,230.1,
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,233.9,
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,242.4,
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,252.6,
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,265.4,
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,281.9,
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,299.1,
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,311.2,
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,327.7,
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,340.5,
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,356.9,
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,370.9,
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,387.1,
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,400.6,
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,411.6,
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,425.2,
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,431.4,
2023-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,434.3,
2023-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,437.6,
2023-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,440.0,
2023-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,445.4,
2024-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,446.6,
2024-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,450.2,
2024-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,455.8,
2024-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,466.1,
2000-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,263.8,
2000-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,257.3,
2000-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,253.4,
2000-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,259.6,
2001-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,267.0,
2001-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,279.5,
2001-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,290.2,
2001-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,320.4,
2002-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,325.3,
2002-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,338.3,
2002-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,335.9,
2002-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,353.1,
2003-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,365.9,
2003-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,375.8,
2003-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,380.2,
2003-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,388.4,
2004-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,397.3,
2004-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,405.6,
2004-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,404.7,
2004-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,415.1,
2005-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,421.9,
2005-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,432.3,
2005-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,435.5,
2005-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,448.4,
2006-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,449.5,
2006-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,453.9,
2006-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,442.5,
2006-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,450.6,
2007-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,450.2,
2007-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,462.8,
2007-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,462.9,
2007-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,472.4,
2008-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,467.8,
2008-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,466.2,
2008-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,463.5,
2008-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,495.3,
2009-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,543.2,
