date,ebene1,ebene2,ebene3,bestand,fluss
2017-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,7.0
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,7.6
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,4.4
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,8.0
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,7.2
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,10.3
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,3.8
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,8.5
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,10.2
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,12.8
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,16.5
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,17.2
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,12.1
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,16.5
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,12.8
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,16.4
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,14.0
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,16.3
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,13.4
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,11.0
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,13.6
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,6.2
2023-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,2.9
2023-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,3.4
2023-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,2.4
2023-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,5.4
2024-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,1.2
2024-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,3.7
2024-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,5.6
2024-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,10.3
2000-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,8.9
2000-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-6.5
2000-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-3.9
2000-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,6.2
2001-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,7.5
2001-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,12.4
2001-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,10.8
2001-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,30.2
2002-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,4.9
2002-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,13.0
2002-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-1.9
2002-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.1
2003-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,12.9
2003-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,9.9
2003-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,4.4
2003-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,8.2
2004-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,8.9
2004-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,7.9
2004-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-0.6
2004-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,10.5
2005-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,7.3
2005-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,10.4
2005-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,3.1
2005-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,13.4
2006-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,1.1
2006-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,4.4
2006-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-11.4
2006-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,8.1
2007-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-0.4
2007-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,12.6
2007-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,0.1
2007-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,9.5
2008-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-4.6
2008-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-1.8
2008-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-2.8
2008-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,31.8
2009-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,47.9
2009-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,31.6
2009-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,25.0
2009-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,33.0
2010-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,16.9
2010-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,19.3
2010-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,6.1
2010-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.9
2011-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-0.4
2011-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,8.7
2011-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,8.1
2011-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.2
2012-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,10.5
2012-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,22.6
2012-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,25.2
2012-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,31.7
2013-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,18.5
2013-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,25.7
2013-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,16.4
2013-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,29.0
2014-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,8.4
2014-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,19.9
