date,ebene1,ebene2,ebene3,bestand,fluss
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.6,
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.6,
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.2,
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.8,
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.3,
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.3,
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.4,
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.7,
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.4,
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.6,
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.4,
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.6,
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.0,
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.0,
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,7.3,
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.9,
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.6,
2023-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.9,
2023-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.9,
2023-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.0,
2023-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.2,
2024-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.8,
2024-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.5,
2024-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,5.7,
2024-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,6.5,
2000-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,95.3,
2000-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,98.5,
2000-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,95.2,
2000-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,111.9,
2001-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,100.0,
2001-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,103.6,
2001-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,105.6,
2001-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,125.5,
2002-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,105.8,
2002-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,112.5,
2002-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,116.9,
2002-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,134.9,
2003-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,114.8,
2003-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,124.6,
2003-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,126.9,
2003-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,140.1,
2004-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,131.6,
2004-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,138.1,
2004-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,139.0,
