date,ebene1,ebene2,ebene3,bestand,fluss
2017-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.0
2017-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.6
2018-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.0
2018-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.4
2018-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.4
2018-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.5
2019-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-1.0
2019-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2019-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.0
2019-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.8
2020-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.5
2020-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.3
2020-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.0
2020-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2021-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.2
2021-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2021-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2021-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.3
2022-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.0
2022-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2022-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.4
2022-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.2
2023-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.7
2023-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.1
2023-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.1
2023-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2024-01-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.4
2024-04-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,-0.3
2024-07-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.2
2024-10-01,Einlagen,Bargeld und Sichteinlagen,Bargeld,,0.8
2000-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-5.1
2000-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,3.6
2000-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-4.4
2000-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,17.7
2001-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-12.5
2001-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,3.1
2001-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,3.0
2001-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,19.0
2002-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-19.4
2002-04-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,6.8
2002-07-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,4.0
2002-10-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,18.0
2003-01-01,Einlagen,Bargeld und Sichteinlagen,Sichteinlagen,,-20.1
