Quarter,DET_trend_t,DET_trend_t2,SEAS_Q1,SEAS_Q2,SEAS_Q3,TARGET__lag-1Q,TARGET__lag-2Q,TARGET__lag-4Q
2025Q1,100.0,10000.0,1.0,0.0,0.0,9.099999999999998,71.5,66.4
2025Q2,101.0,10201.0,0.0,1.0,0.0,9.099999999999998,9.099999999999998,67.5
2025Q3,102.0,10404.0,0.0,0.0,1.0,9.099999999999998,9.099999999999998,71.5
2025Q4,103.0,10609.0,0.0,0.0,0.0,9.099999999999998,9.099999999999998,9.099999999999998
2026Q1,104.0,10816.0,1.0,0.0,0.0,9.099999999999998,9.099999999999998,9.099999999999998
2026Q2,105.0,11025.0,0.0,1.0,0.0,9.099999999999998,9.099999999999998,9.099999999999998
