GKZ,Gemeindename,Deutschlandatlas_GEM1223__st_einnkr,Deutschlandatlas_GEM1223__v_breitb50,Deutschlandatlas_GEM1223__v_breitb1000,Deutschlandatlas_GEM1222__bev_dicht,Deutschlandatlas_GEM1222__bev_entw,Deutschlandatlas_GEM1222__beschq_insg,Deutschlandatlas_GEM1222__beschq_w,Deutschlandatlas_GEM1222__beschq_m,Deutschlandatlas_GEM1222__v_gsm,Deutschlandatlas_GEM1222__v_lte,Deutschlandatlas_GEM1222__v_5g,Deutschlandatlas_GEM1222__p_markt,Deutschlandatlas_GEM1222__p_hbad,Deutschlandatlas_GEM1222__p_freibad,Deutschlandatlas_GEM1222__p_notfall,Deutschlandatlas_GEM1222__p_grunds,Deutschlandatlas_GEM1222__p_sek_1,Deutschlandatlas_GEM1222__p_sek_2,Deutschlandatlas_GEM1221__p_nelade,Deutschlandatlas_GEM1221__p_selade,Deutschlandatlas_GEM1221__p_harzt,Deutschlandatlas_GEM1220__p_apo,Deutschlandatlas_GEM1218__luftrtng,Deutschlandatlas_GEM1218__p_poli
08425062,Holzkirch,1340.0,86.92,0.0,34.03,1.64,72.38,70.0,74.73,100.0,98.1,93.9,3.7,14.56,23.22,14.91,4.08,14.32,13.9,3.86,12.32,4.6,6.39,3.05,11.33
08425064,Hüttisheim,1381.0,94.02,63.08,148.75,1.4,75.52,69.25,82.31,100.0,100.0,100.0,5.19,8.65,9.41,10.0288889,2.49,5.74,11.13,4.37,5.83,5.4,5.98,3.89,8.73
08425066,Illerrieden,1454.0,93.91,2.18,185.85,0.59,73.74,66.93,80.54,100.0,100.0,99.5,3.54,11.46,9.24,14.5026531,2.8,8.7,16.38,4.43,8.84,2.7,2.71,4.57,7.76
08425071,"Laichingen, Stadt",1641.0,95.92,39.79,175.43,1.29,73.42,68.12,78.19,100.0,98.3,87.7,3.68,5.03,16.32,25.1175172,3.64,4.96,5.28,3.47,5.57,2.7,4.32,5.1,5.93
08425072,"Langenau, Stadt",1743.0,89.23,70.35,208.36,0.74,72.97,67.41,78.19,100.0,98.3,96.7,3.27,5.15,19.82,6.30564767,3.12,5.83,5.27,2.17,9.49,3.2,4.38,3.4,6.15
08425073,Lauterach,1055.0,69.35,0.0,45.13,1.05,67.38,62.16,71.49,99.8,93.0,85.3,9.14,13.36,14.89,20.36125,3.47,13.3,16.07,4.13,13.39,8.0,8.43,8.35,8.76
08425075,Lonsee,1375.0,95.06,29.85,119.04,0.77,73.18,70.22,75.92,100.0,96.9,89.0,3.8,16.81,18.42,16.9108642,4.26,9.61,16.06,3.11,7.88,3.5,3.92,3.42,7.39
08425079,Merklingen,1832.0,92.92,1.99,97.84,0.68,75.08,72.86,77.07,100.0,98.7,92.7,2.75,10.73,17.76,20.9969444,2.92,10.61,11.06,3.19,2.91,2.2,9.35,4.47,10.01
08425081,"Munderkingen, Stadt",1274.0,93.41,39.47,411.63,0.5,70.15,61.88,77.76,100.0,100.0,100.0,2.67,3.94,13.05,20.1650794,3.59,3.9,13.34,2.9,8.85,2.4,2.54,7.68,3.16
08425083,Neenstetten,6297.0,95.34,0.0,101.45,-0.44,71.38,65.5,76.79,99.9,89.9,88.9,1.89,10.46,22.0,11.89875,4.54,10.22,12.19,2.04,15.49,5.4,6.71,3.57,12.47
08425084,Nellingen,1809.0,55.52,7.55,59.1,1.22,73.41,69.01,77.34,100.0,98.5,92.5,5.86,14.3,17.015,17.4120513,3.04,12.27,14.53,5.2,5.93,1.8,11.59,4.39,10.69
08425085,Nerenstetten,932.0,78.85,0.0,59.28,0.99,73.49,70.8,76.47,100.0,100.0,100.0,4.47,3.63,21.04,5.075,3.22,3.39,5.36,1.5,10.27,4.1,4.45,4.08,6.7
08425088,Oberdischingen,1127.0,96.44,2.64,257.82,1.66,74.91,69.35,80.43,100.0,100.0,99.7,2.85,2.88,8.7,14.41,2.85,10.4,11.24,1.68,9.05,1.7,1.62,3.96,7.88
08425090,Obermarchtal,1544.0,82.93,0.0,49.45,0.2,68.56,63.18,73.7,100.0,97.6,91.3,4.18,10.78,11.61,13.2095349,3.49,10.93,13.41,5.32,11.7,3.2,3.4,9.06,7.3
08425091,Oberstadion,1215.0,92.54,74.96,103.61,1.21,73.95,68.65,78.77,100.0,99.5,97.1,5.95,8.22,10.525,12.8232143,2.73,7.58,15.0,5.05,2.59,2.4,7.09,8.04,10.77
08425092,Öllingen,1269.0,95.85,0.0,72.56,1.66,67.95,59.9,75.76,100.0,99.8,99.9,6.97,6.13,20.685,8.22083333,5.15,6.09,7.63,4.25,12.53,6.1,6.72,4.71,7.24
08425093,Öpfingen,1304.0,96.08,0.0,265.54,-0.05,71.09,64.13,77.42,100.0,100.0,100.0,2.03,5.99,9.81,14.3575,2.43,10.68,8.77,5.33,9.26,1.8,5.35,4.59,8.56
08425097,Rammingen,1243.0,96.26,11.21,97.15,1.0,73.1,67.7,78.1,100.0,99.4,99.9,7.13,6.73,17.88,8.83416667,2.0,6.77,8.23,2.23,16.85,6.2,7.17,5.06,7.0
