GKZ,Gemeindename,Deutschlandatlas_GEM1223__st_einnkr,Deutschlandatlas_GEM1223__v_breitb50,Deutschlandatlas_GEM1223__v_breitb1000,Deutschlandatlas_GEM1222__bev_dicht,Deutschlandatlas_GEM1222__bev_entw,Deutschlandatlas_GEM1222__beschq_insg,Deutschlandatlas_GEM1222__beschq_w,Deutschlandatlas_GEM1222__beschq_m,Deutschlandatlas_GEM1222__v_gsm,Deutschlandatlas_GEM1222__v_lte,Deutschlandatlas_GEM1222__v_5g,Deutschlandatlas_GEM1222__p_markt,Deutschlandatlas_GEM1222__p_hbad,Deutschlandatlas_GEM1222__p_freibad,Deutschlandatlas_GEM1222__p_notfall,Deutschlandatlas_GEM1222__p_grunds,Deutschlandatlas_GEM1222__p_sek_1,Deutschlandatlas_GEM1222__p_sek_2,Deutschlandatlas_GEM1221__p_nelade,Deutschlandatlas_GEM1221__p_selade,Deutschlandatlas_GEM1221__p_harzt,Deutschlandatlas_GEM1220__p_apo,Deutschlandatlas_GEM1218__luftrtng,Deutschlandatlas_GEM1218__p_poli
01001000,"Flensburg, Stadt",1520.0,99.68,98.69,1631.41,0.91,59.6,57.72,61.41,99.7,99.7,99.5,2.36,6.54,10.525,6.83330909,3.18,4.73,4.42,2.84,5.46,2.2,2.69,9.59,3.2
01002000,"Kiel, Landeshauptstadt",1619.0,99.13,94.95,2087.8,-0.02,59.72,56.04,63.49,99.3,99.3,99.3,2.52,6.54,6.955,8.67112322,3.11,4.49,4.63,3.21,4.91,2.1,2.52,7.81,3.09
01003000,"Lübeck, Hansestadt",1341.0,98.19,90.73,1018.23,0.16,63.25,59.73,66.86,100.0,100.0,99.3,3.2,8.67,8.275,9.16691489,3.69,5.12,6.76,3.92,6.58,2.5,3.34,5.55,4.22
01004000,"Neumünster, Stadt",1566.0,98.95,97.79,1109.43,0.04,65.52,61.22,69.65,100.0,100.0,100.0,2.58,6.46,7.965,7.27233333,3.02,4.85,4.47,4.54,5.32,2.8,2.81,8.01,3.08
01051001,Albersdorf,1237.0,98.23,87.91,220.44,0.31,62.81,59.35,66.33,100.0,100.0,100.0,2.31,2.98,7.76,19.271125,2.75,3.3,17.43,2.43,14.11,2.0,2.51,7.66,3.84
01051002,Arkebek,655.0,94.51,85.71,33.38,3.33,63.82,66.67,61.04,100.0,100.0,86.1,5.08,5.85,8.71,18.5146429,5.72,6.7,14.31,5.32,13.26,4.6,4.95,7.64,5.42
01051003,Averlak,811.0,78.54,78.54,62.91,0.14,73.47,62.09,84.1,100.0,100.0,99.9,5.24,11.45,11.145,31.2051724,6.45,11.91,11.92,6.3,12.22,6.0,9.86,12.44,9.23
01051004,Bargenstedt,1124.0,90.86,82.22,79.75,0.21,66.29,62.5,70.08,100.0,100.0,93.4,8.43,11.22,10.505,21.9956897,2.87,10.39,10.54,10.09,14.78,8.8,8.72,9.87,10.04
01051005,Barkenholm,861.0,87.65,87.65,34.64,2.12,59.62,64.44,55.93,100.0,100.0,95.7,8.06,11.08,9.6,13.2857895,9.17,11.07,11.31,7.82,10.3,7.7,8.16,8.04,8.54
01051006,Barlt,3453.0,100.0,100.0,33.52,0.1,66.59,56.48,75.85,100.0,100.0,100.0,8.38,10.82,10.24,25.9672973,7.03,9.22,9.27,8.96,6.47,8.9,8.94,12.69,9.79
01051008,Bergewöhrden,687.0,89.47,89.47,13.26,1.21,52.17,50.0,55.56,100.0,100.0,100.0,9.91,23.96,11.94,26.17,10.72,20.46,24.19,10.0,13.74,9.9,9.98,7.32,9.02
01051010,Brickeln,1017.0,91.76,91.76,32.62,-2.0,65.71,63.79,67.07,100.0,100.0,100.0,4.58,21.71,5.125,32.3263158,4.66,5.32,21.74,5.76,19.71,4.6,5.05,10.57,4.75
01051011,"Brunsbüttel, Stadt",2772.0,98.69,97.56,193.27,-0.16,67.31,58.28,75.75,99.7,99.7,99.6,4.9,6.9,6.59,28.9327481,5.64,6.3,6.34,4.73,6.36,3.9,5.67,13.78,6.98
01051012,Buchholz,852.0,92.19,89.51,68.75,-0.18,67.65,61.38,73.29,100.0,100.0,99.9,7.36,23.12,7.17,38.5411765,7.55,8.97,21.47,7.3,21.45,5.8,7.0,11.31,6.66
01051013,Büsum,1926.0,98.38,95.06,586.08,0.42,63.62,62.09,65.24,99.2,99.2,99.2,2.04,3.72,15.59,18.9729167,2.71,2.71,2.71,1.71,2.8,2.7,2.72,13.77,2.54
01051014,Büsumer Deichhausen,1053.0,99.45,93.92,127.53,0.28,62.15,63.27,60.76,100.0,100.0,100.0,2.87,5.03,15.1,18.0133333,4.12,4.12,4.12,2.95,2.54,4.1,4.15,13.2,4.01
01051015,Bunsoh,860.0,95.98,86.69,63.57,-0.9,65.97,61.75,70.28,100.0,100.0,100.0,4.46,4.24,3.47,23.0152632,5.51,6.15,19.69,4.46,17.85,2.0,4.6,6.68,5.49
01051016,Burg (Dithmarschen),856.0,98.99,96.38,373.87,0.31,64.68,58.59,71.01,100.0,100.0,100.0,3.06,23.59,3.89,33.3894118,3.13,4.23,23.65,3.03,22.93,2.0,2.81,10.55,4.26
01051017,Busenwurth,722.0,88.03,88.03,31.52,0.13,66.5,55.79,75.93,100.0,100.0,100.0,8.53,9.53,8.57,22.9241379,4.54,8.66,8.76,7.36,3.34,8.3,7.98,12.42,7.33
01051019,Dellstedt,845.0,84.98,84.98,33.07,-0.57,66.74,63.11,70.09,100.0,100.0,100.0,2.59,16.21,2.57,25.8273333,2.86,10.63,21.65,8.62,21.04,9.9,10.67,4.68,10.7
01051020,Delve,1007.0,96.78,92.4,48.04,1.87,64.46,63.8,65.14,100.0,100.0,100.0,3.4,22.18,3.9,24.3835484,12.97,16.02,22.41,9.56,15.25,10.1,11.17,6.68,12.24
01051021,Diekhusen-Fahrstedt,1619.0,94.72,89.72,94.1,-0.28,64.92,57.58,72.37,100.0,100.0,100.0,3.11,4.39,12.82,33.7930556,3.59,3.59,4.51,3.1,12.1,2.5,3.76,14.32,4.65
01051022,Dingen,1442.0,91.23,76.84,92.44,0.87,65.36,56.28,74.04,100.0,100.0,100.0,4.49,14.3,7.24,31.7538235,4.21,8.21,13.11,3.67,13.23,4.1,6.13,12.75,10.74
01051023,Dörpling,833.0,94.78,83.96,82.99,1.56,62.66,60.32,64.85,100.0,100.0,100.0,7.58,17.24,2.505,23.1338889,8.48,9.8,21.12,1.87,16.02,3.3,7.87,5.67,7.55
01051024,Eddelak,1318.0,94.88,87.2,147.12,-0.09,71.68,63.59,79.41,100.0,100.0,100.0,3.19,13.05,9.34,29.9252174,5.38,9.98,11.44,3.21,11.44,2.5,8.13,12.87,9.38
01051026,Eggstedt,915.0,91.91,86.71,58.33,0.03,70.68,64.35,77.09,100.0,100.0,100.0,12.15,13.99,5.87,20.6592157,12.41,13.04,18.17,6.13,17.09,4.4,12.36,9.33,12.51
01051027,Elpersbüttel,1127.0,94.76,87.7,29.2,0.37,67.08,60.36,73.59,100.0,100.0,100.0,7.12,7.92,7.36,21.317907,3.85,7.36,7.18,5.79,4.23,6.4,6.33,12.19,7.02
01051028,Epenwöhrden,-254.0,95.27,90.54,59.1,0.33,65.64,60.96,70.59,100.0,100.0,100.0,4.76,5.41,4.315,15.1503636,6.09,5.58,4.97,4.55,9.63,4.6,5.88,10.67,8.36
01051030,Fedderingen,1366.0,88.33,88.33,27.55,-1.33,68.89,69.77,68.09,100.0,100.0,100.0,5.24,17.26,6.36,18.09,6.22,15.63,17.25,2.11,2.29,4.8,5.31,8.83,6.04
01051032,Frestedt,1075.0,97.48,91.19,34.17,0.52,63.91,65.77,62.18,100.0,100.0,96.7,6.24,17.1,6.35,28.0152,6.0,6.0,16.51,7.64,13.0,4.8,7.38,10.9,10.01
01051033,Friedrichsgabekoog,13785.0,96.55,96.55,6.5,0.74,54.05,70.0,35.29,100.0,100.0,100.0,6.85,10.85,9.78,11.9890476,9.39,9.29,9.94,4.24,7.65,6.4,8.98,12.33,8.98
01051034,Friedrichskoog,2318.0,99.78,99.78,46.22,-0.84,58.01,51.41,64.34,100.0,100.0,93.8,4.57,6.37,23.05,36.7614063,8.11,12.93,12.51,5.31,5.32,6.1,5.02,14.79,12.0
01051035,Gaushorn,1259.0,89.47,89.47,26.98,0.47,62.62,58.49,66.67,100.0,100.0,82.2,5.52,9.48,7.25,12.7352381,5.29,6.85,8.53,5.97,7.48,5.0,6.53,7.75,7.06
01051036,Glüsing,2749.0,88.89,88.89,24.52,0.91,54.69,69.7,38.71,100.0,100.0,100.0,3.92,14.53,6.4,17.22125,5.67,7.75,15.24,2.24,7.93,3.9,3.85,7.08,3.87
01051037,Großenrade,744.0,94.29,94.29,46.54,0.6,70.34,61.27,79.05,100.0,100.0,100.0,7.38,20.31,7.47,28.39875,7.47,8.25,19.13,8.31,20.05,6.0,7.69,10.18,6.85
01051038,Groven,5957.0,96.97,96.97,11.39,0.93,69.05,72.22,66.67,100.0,100.0,100.0,5.66,24.36,6.62,20.5408333,6.27,13.27,13.27,5.9,16.84,5.5,6.06,10.77,5.26
01051039,Gudendorf,1327.0,97.01,91.02,69.87,2.45,66.8,61.42,72.22,100.0,100.0,100.0,6.15,11.95,5.85,25.3439286,5.64,5.85,11.2,7.42,7.15,7.0,7.29,11.75,10.89
01051043,Hedwigenkoog,5471.0,95.83,95.83,13.69,0.74,83.57,79.69,86.84,100.0,100.0,100.0,6.69,10.17,10.725,19.5032609,8.66,8.88,9.1,6.39,7.14,8.6,8.53,13.67,9.19
01051044,"Heide, Stadt",1403.0,98.68,97.14,691.71,0.38,61.68,58.13,65.27,100.0,100.0,95.4,2.71,5.54,5.35,6.10486486,2.85,3.98,3.93,2.51,3.52,2.5,3.45,9.08,5.53
01051045,Hellschen-Heringsand-Unterschaar,3308.0,92.54,89.55,23.93,-0.24,50.98,57.78,45.61,100.0,99.9,100.0,6.63,13.8,7.37,19.8887879,6.54,7.47,12.84,4.09,10.6,7.0,6.75,13.33,8.48
01051046,Helse,1532.0,97.93,95.85,71.33,-0.48,66.47,57.44,74.9,100.0,100.0,100.0,4.21,5.85,14.63,30.1058824,4.74,5.21,4.46,4.96,10.14,4.5,4.98,13.82,4.79
01051047,Hemme,3835.0,96.97,96.97,31.03,0.81,68.73,59.72,76.69,100.0,100.0,100.0,9.07,19.47,-9999.0,15.3423077,9.54,12.93,13.18,9.01,14.43,7.6,10.08,10.7,10.21
01051048,Hemmingstedt,1641.0,97.53,92.59,179.08,0.03,73.77,71.22,76.22,100.0,100.0,100.0,5.4,8.79,4.52,10.1325373,2.99,7.94,8.12,5.44,5.12,2.6,7.28,10.1,8.78
01051049,Hennstedt,1343.0,97.08,88.41,93.11,1.05,71.49,67.87,75.0,100.0,100.0,100.0,3.44,16.31,3.96,18.512375,3.67,13.53,16.54,3.34,6.26,2.3,3.49,7.88,4.27
01051050,Hillgroven,10889.0,93.75,93.75,16.11,-2.15,65.63,57.14,72.22,100.0,100.0,100.0,5.82,20.1,5.84,19.6565,5.51,5.82,19.04,4.01,16.9,5.8,5.66,13.0,6.13
01051051,Hochdonn,719.0,95.16,93.81,198.17,-0.35,65.37,53.68,76.54,100.0,100.0,100.0,7.38,20.81,8.31,27.667963,7.32,9.28,20.01,7.75,22.27,5.5,6.68,9.77,6.0
01051052,Hövede,885.0,100.0,100.0,20.75,0.0,60.61,52.63,71.43,100.0,100.0,100.0,5.4,12.76,4.545,22.295,5.34,5.34,18.31,3.88,16.25,5.1,5.42,6.22,4.66
01051053,Hollingstedt,815.0,88.55,88.55,31.52,0.96,66.85,65.96,67.78,100.0,100.0,100.0,3.22,18.19,7.05,20.3995652,8.89,12.04,18.42,5.55,11.16,7.1,7.08,7.15,7.01
01051054,Immenstedt,1025.0,97.37,97.37,34.95,1.18,63.16,58.97,67.57,100.0,100.0,100.0,4.07,4.03,4.92,20.6125,4.65,4.84,16.38,3.95,15.33,3.7,4.17,6.71,4.04
01051057,Kaiser-Wilhelm-Koog,4963.0,100.0,100.0,29.89,1.73,59.09,56.91,60.99,99.9,99.9,99.9,8.71,8.89,20.01,39.8953623,8.17,9.11,10.03,9.48,10.91,8.5,9.6,15.57,9.39
01051058,Karolinenkoog,1397.0,94.23,94.23,7.35,-2.68,67.44,68.42,66.67,100.0,100.0,100.0,6.99,22.7,9.28,18.5313333,8.02,9.54,10.8,8.74,17.45,8.1,8.61,11.52,8.18
01051060,Kleve,1137.0,87.69,87.69,31.23,-0.86,72.69,69.37,75.86,100.0,100.0,100.0,7.51,20.87,5.83,22.8055882,7.54,18.57,20.84,6.44,7.16,6.4,7.62,8.62,7.63
01051061,Krempel,658.0,92.13,85.04,125.52,0.34,61.62,54.49,68.23,100.0,100.0,100.0,3.7,20.78,2.57,17.5333333,2.58,16.98,16.67,1.73,11.67,2.9,3.17,10.13,4.0
01051062,Kronprinzenkoog,3449.0,100.0,100.0,29.26,0.81,71.24,62.1,79.42,100.0,100.0,100.0,6.84,7.98,17.17,32.8046364,4.43,7.89,7.64,8.04,9.1,7.4,7.3,14.35,7.47
01051063,Krumstedt,889.0,87.95,87.95,31.59,-0.31,65.32,57.33,73.47,100.0,100.0,88.4,11.83,14.85,11.92,26.1515686,9.77,13.82,13.99,11.91,18.17,6.1,12.06,9.81,12.59
01051064,Kuden,825.0,97.53,91.17,54.62,0.46,64.91,52.94,76.56,100.0,100.0,99.2,5.17,18.46,9.46,35.239375,6.51,9.52,16.79,5.61,16.8,5.9,7.53,11.87,8.61
01051065,Lehe,695.0,98.18,92.51,57.92,-0.26,68.09,69.58,66.67,100.0,100.0,100.0,5.81,25.91,5.34,22.8655769,5.59,19.21,19.21,3.71,16.8,3.4,3.74,10.55,5.07
01051067,Lieth,1781.0,98.01,87.42,79.18,-0.68,67.03,61.7,72.73,100.0,100.0,100.0,6.08,8.9,6.31,8.25352941,4.51,8.4,7.94,6.11,5.73,4.2,7.89,10.49,8.61
01051068,Linden,840.0,96.94,86.94,75.3,0.18,68.66,64.66,72.59,100.0,100.0,98.8,5.71,12.4,7.26,14.6098438,6.78,10.25,12.64,4.89,8.17,5.5,5.74,7.65,5.22
01051069,Lohe-Rickelshof,3002.0,98.49,90.92,386.46,0.08,67.98,67.15,68.86,100.0,100.0,100.0,3.4,8.23,8.08,4.11971429,4.36,4.38,4.51,2.94,6.04,3.5,3.71,10.17,4.13
01051071,Lunden,679.0,99.39,97.8,360.65,0.04,61.68,56.96,65.91,100.0,100.0,100.0,2.5,22.64,2.35,19.386,1.82,15.83,15.83,1.29,13.62,1.0,1.53,10.12,2.99
01051072,"Marne, Stadt",1404.0,99.28,98.06,1249.9,0.7,65.06,59.61,70.61,100.0,100.0,100.0,1.7,2.75,12.38,31.9561818,2.33,2.33,2.52,1.8,12.11,1.7,2.16,14.2,1.71
01051073,Marnerdeich,758.0,100.0,100.0,317.56,0.59,59.05,52.99,65.22,100.0,100.0,100.0,3.19,2.79,14.68,34.036875,3.67,3.67,4.27,4.12,10.61,3.9,4.0,14.64,3.52
01051074,"Meldorf, Stadt",1247.0,98.77,95.31,345.95,0.39,59.93,56.12,63.76,100.0,100.0,100.0,3.18,4.3,4.36,18.008835,3.53,3.49,3.36,2.95,7.57,3.0,2.95,11.18,4.72
01051075,Neuenkirchen,3108.0,95.48,87.38,39.7,0.73,72.83,66.55,78.34,100.0,100.0,100.0,8.45,16.04,9.285,11.8973,9.47,9.51,12.16,8.47,12.05,3.2,8.85,10.83,8.95
01051076,Neufeld,2186.0,94.49,90.94,59.81,1.67,71.19,64.41,77.72,100.0,100.0,99.7,6.24,7.42,13.545,33.3954545,6.57,6.55,7.52,6.39,10.88,5.6,7.04,14.67,6.77
01051077,Neufelderkoog,2108.0,86.76,86.76,11.67,-1.31,54.1,55.56,52.94,100.0,100.0,99.8,9.8,11.0,18.9,38.467907,10.12,10.12,11.1,10.29,14.61,9.4,10.73,15.55,10.18
01051078,Nindorf,1224.0,98.39,87.75,131.2,0.05,63.81,60.06,67.52,100.0,100.0,99.5,4.26,7.51,7.475,21.56,5.19,6.39,6.33,6.17,10.75,5.0,4.54,10.5,5.81
01051079,Norddeich,2271.0,98.0,89.0,67.25,2.58,72.28,71.32,73.15,100.0,100.0,100.0,3.93,18.01,3.47,17.77,3.25,3.93,17.06,1.79,14.8,3.6,3.77,12.59,3.51
01051080,Norderheistedt,2820.0,98.28,96.55,30.25,-1.29,51.72,65.0,40.43,100.0,100.0,98.9,6.65,9.98,8.33,12.1936364,7.83,10.29,10.22,6.55,9.01,6.5,6.89,8.64,7.52
01051081,Norderwöhrden,13065.0,96.46,96.46,14.4,-0.07,46.84,56.06,40.22,100.0,100.0,100.0,6.54,12.34,8.6,8.12612245,8.24,7.95,8.53,4.76,8.31,5.2,7.13,11.01,6.27
01051082,Nordhastedt,992.0,94.2,82.34,106.4,-0.35,64.35,60.72,67.94,100.0,100.0,92.1,3.51,10.4,5.8,14.4382301,3.46,9.76,10.3,5.06,9.19,2.9,9.69,8.65,10.06
01051083,Odderade,890.0,95.65,83.33,29.02,0.63,73.79,76.19,71.29,100.0,93.8,74.8,6.2,14.54,8.91,18.1572,6.28,13.85,13.95,8.79,12.9,5.6,13.59,8.73,13.36
01051084,Oesterdeichstrich,1814.0,92.74,84.68,72.41,4.98,56.0,45.36,66.02,100.0,100.0,100.0,3.54,7.16,10.5,14.0184615,6.26,6.26,6.26,2.67,3.96,6.2,6.29,12.98,5.18
01051085,Offenbüttel,993.0,83.04,83.04,17.78,-1.42,59.56,52.78,67.19,100.0,100.0,100.0,8.66,10.59,8.13,29.1536364,11.17,11.72,25.5,10.77,24.1,6.7,10.95,5.65,11.55
01051086,Osterrade,1187.0,92.61,92.61,24.28,-0.1,56.73,50.0,62.79,100.0,100.0,100.0,5.77,9.47,4.89,26.619434,8.58,10.87,22.43,9.02,21.71,8.4,9.75,5.51,9.73
01051087,Ostrohe,1398.0,98.5,86.75,136.94,-0.82,66.73,65.91,67.57,100.0,100.0,100.0,3.04,5.88,5.75,8.08827586,4.69,6.19,6.11,5.51,5.24,4.3,5.44,8.89,5.75
01051088,Pahlen,1198.0,96.18,90.14,106.76,0.02,68.81,63.42,73.89,100.0,100.0,99.9,6.27,16.23,2.385,20.5531818,7.27,8.88,18.58,2.64,13.4,2.7,6.34,6.09,6.18
01051089,Quickborn,799.0,93.18,93.18,25.76,-1.35,56.41,45.76,67.24,100.0,100.0,100.0,5.1,18.56,5.73,31.1328571,5.1,5.39,18.72,6.56,16.24,5.5,5.93,11.33,9.15
01051090,Ramhusen,849.0,80.88,80.88,35.21,1.26,62.5,61.54,63.46,100.0,100.0,100.0,8.83,11.52,10.99,32.4537143,10.36,10.55,10.98,8.68,11.46,7.4,9.8,13.67,8.99
01051092,Rehm-Flehde-Bargen,1624.0,87.01,87.01,37.94,1.72,64.72,60.36,68.97,100.0,100.0,100.0,6.04,17.74,5.945,14.4830435,5.39,15.6,13.86,4.56,12.2,5.6,6.09,9.96,6.84
01051093,Reinsbüttel,1845.0,98.85,95.4,59.74,-0.98,62.45,61.79,63.11,100.0,100.0,100.0,6.18,10.6,7.76,15.1284848,7.24,8.02,9.69,3.28,7.4,7.2,6.94,12.68,6.73
01051096,Sankt Annen,1424.0,89.78,89.78,20.82,-0.75,64.84,60.71,68.37,100.0,100.0,100.0,7.04,23.58,8.055,23.4836585,7.51,21.34,21.28,3.07,12.27,5.7,6.31,9.5,5.68
01051097,Sankt Michaelisdonn,1131.0,97.48,91.78,153.56,0.73,66.62,57.55,75.93,100.0,100.0,100.0,2.95,13.83,2.775,31.4924545,3.29,3.35,13.86,3.31,13.3,2.6,3.13,12.18,11.2
01051098,Sarzbüttel,1470.0,96.12,82.69,54.14,0.86,69.45,57.66,80.69,100.0,97.8,82.4,9.73,12.46,11.52,21.2815385,6.61,12.13,14.63,11.73,16.08,9.3,11.61,9.28,11.72
01051099,Schafstedt,988.0,93.51,86.52,71.7,0.77,71.46,63.87,78.82,100.0,100.0,100.0,10.38,11.82,3.19,20.48,10.62,11.46,20.94,3.75,16.34,3.3,10.82,8.48,9.06
01051100,Schalkholz,1128.0,96.47,91.37,46.09,-0.34,66.12,62.3,69.95,100.0,100.0,99.1,4.74,12.15,6.71,19.6213636,4.81,4.81,17.13,4.18,11.91,4.6,4.74,6.89,5.03
01051102,Schlichting,801.0,87.13,87.13,19.68,0.5,52.74,46.38,58.44,100.0,100.0,100.0,9.08,21.92,9.0,21.7840541,8.77,19.88,21.17,7.24,7.52,8.6,9.04,9.2,7.1
01051103,Schmedeswurth,2335.0,82.89,82.89,32.32,0.87,65.45,64.29,66.67,100.0,100.0,100.0,5.71,6.92,13.16,33.0396429,6.04,6.04,7.02,5.7,10.99,5.0,6.41,14.41,6.08
01051104,Schrum,1619.0,86.21,86.21,14.37,0.87,69.44,70.59,68.42,100.0,100.0,93.2,7.05,8.84,10.67,16.7855556,7.42,7.45,12.58,6.6,11.53,5.9,7.01,7.18,6.41
01051105,Schülp,3080.0,98.91,95.63,42.83,-0.3,75.49,71.43,79.53,100.0,100.0,100.0,5.47,21.12,4.0,19.3722727,6.41,5.55,18.42,5.45,17.91,5.3,5.52,11.99,5.76
01051107,Stelle-Wittenwurth,3563.0,85.41,85.41,42.76,1.76,73.86,77.1,70.68,100.0,100.0,100.0,4.13,13.42,9.89,10.1741379,4.57,12.21,9.74,4.09,11.32,4.3,9.02,9.82,9.96
01051108,Strübbel,9952.0,89.13,89.13,22.05,2.56,71.7,68.75,76.19,100.0,100.0,100.0,8.47,21.2,7.995,17.2508333,9.42,8.73,15.42,8.48,16.56,6.3,8.65,11.32,9.18
01051109,Süderdeich,3181.0,98.46,92.82,67.17,-1.18,58.61,57.25,60.0,100.0,100.0,100.0,3.95,13.32,5.02,16.754,4.69,5.49,12.32,1.95,10.12,4.4,4.29,12.59,4.11
01051110,Süderhastedt,1010.0,98.02,95.2,50.0,-0.52,69.57,60.67,79.19,100.0,100.0,99.6,10.98,15.51,9.44,24.5830769,10.4,10.91,14.46,9.68,16.96,1.5,11.35,10.0,10.91
01051113,Wöhrden,2654.0,96.55,93.45,59.81,0.88,61.44,58.41,64.43,100.0,100.0,100.0,8.37,12.34,9.38,10.0603896,9.01,9.76,9.9,3.09,9.54,3.5,9.09,11.26,8.68
01051114,Tellingstedt,1224.0,95.04,84.49,128.77,0.91,65.21,62.92,67.57,100.0,100.0,99.8,3.66,10.31,7.55,18.0726374,3.78,3.78,14.4,3.13,13.38,2.6,3.66,6.61,4.18
01051117,Tielenhemme,658.0,88.41,88.41,13.09,0.0,50.54,52.83,47.5,100.0,100.0,100.0,5.69,20.63,6.06,25.9544737,6.6,13.9,23.86,6.32,22.68,6.8,10.4,4.74,9.13
01051118,Trennewurth,2707.0,93.66,93.66,31.71,0.25,68.24,71.64,65.43,100.0,100.0,100.0,6.34,8.12,-9999.0,26.8483333,6.26,7.43,6.54,7.73,7.33,7.0,7.3,13.35,7.0
01051119,Volsemenhusen,2224.0,83.11,75.68,20.5,-0.62,57.71,57.78,57.66,100.0,100.0,100.0,6.98,8.45,8.19,31.725,7.64,7.64,8.47,6.69,12.18,6.4,6.65,13.21,6.98
01051120,Wallen,1005.0,100.0,100.0,16.13,-2.35,56.25,36.36,100.0,100.0,100.0,100.0,4.71,19.98,6.34,24.2625,9.22,12.64,22.29,6.11,16.5,6.4,7.86,6.42,8.44
01051121,Warwerort,1072.0,100.0,89.92,52.84,0.51,59.54,60.0,59.09,100.0,100.0,100.0,6.8,9.4,13.7,14.3925,8.49,8.49,8.49,6.24,6.75,8.1,8.52,12.73,8.15
01051122,Weddingstedt,1429.0,96.19,85.43,131.3,0.2,64.08,64.05,64.1,100.0,100.0,100.0,2.63,9.23,9.455,6.99505263,2.35,8.55,6.43,2.62,7.17,2.5,6.4,9.44,6.93
01051125,Welmbüttel,1055.0,89.39,89.39,52.89,-1.39,74.58,72.41,76.67,100.0,100.0,96.0,5.09,10.39,8.46,14.7472414,5.4,5.41,10.54,4.56,9.49,4.0,5.07,7.26,5.7
01051126,Wennbüttel,1092.0,94.59,89.19,18.08,-1.96,50.0,48.15,52.17,100.0,100.0,100.0,4.09,3.78,7.085,22.7409091,4.34,4.52,20.41,4.08,17.59,3.4,4.18,6.95,4.18
01051127,"Wesselburen, Stadt",818.0,99.32,92.23,694.74,1.37,69.84,65.06,74.75,100.0,100.0,100.0,1.5,15.94,2.16,14.4721818,2.79,2.33,14.48,1.91,12.72,1.7,1.73,12.13,1.6
01051128,Wesselburener Deichhausen,4815.0,86.89,86.89,21.5,0.37,59.46,55.26,63.89,100.0,100.0,100.0,4.1,13.44,5.67,11.2580952,6.57,5.73,11.31,1.77,10.03,4.9,5.02,12.1,5.44
01051129,Wesselburenerkoog,501.0,96.34,96.34,7.99,1.34,59.09,58.49,59.65,100.0,100.0,99.8,6.2,21.52,5.74,20.0593939,6.85,6.21,18.04,5.95,18.32,6.0,6.06,12.92,8.21
01051130,Wesseln,2055.0,99.52,94.59,378.46,-0.22,65.73,66.83,64.6,100.0,100.0,100.0,3.4,8.62,8.27,4.6965625,1.85,7.06,4.59,4.73,6.28,3.4,4.6,9.91,4.37
01051131,Westerborstel,1404.0,100.0,88.24,27.78,3.0,72.73,79.41,65.63,100.0,100.0,100.0,2.94,11.27,9.71,19.49,3.26,3.26,15.75,2.66,14.7,2.9,2.92,7.09,3.74
01051132,Westerdeichstrich,1640.0,93.78,79.03,115.33,-0.02,60.56,57.2,64.08,100.0,100.0,100.0,5.14,7.33,13.845,18.7641071,6.15,6.15,6.15,4.66,5.63,6.3,6.38,13.74,7.06
01051133,Wiemerstedt,1063.0,98.46,98.46,30.12,0.13,62.5,54.76,69.57,100.0,100.0,100.0,7.57,18.0,9.45,14.96,8.17,16.94,14.52,4.1,4.1,6.8,7.86,8.82,7.45
01051134,Windbergen,939.0,97.32,90.18,44.19,-0.63,68.9,63.04,74.68,100.0,100.0,99.6,9.66,13.22,9.56,26.6107692,9.15,9.38,12.47,10.44,8.83,9.0,10.57,11.21,11.41
01051135,Wolmersdorf,796.0,96.77,81.29,52.54,-0.55,72.11,72.53,71.72,100.0,100.0,100.0,4.06,7.3,7.41,21.347619,6.57,6.19,6.13,5.89,10.39,5.1,4.34,10.95,5.6
01051136,Wrohm,1211.0,96.69,88.86,63.49,1.04,64.2,59.72,68.47,100.0,100.0,100.0,2.83,11.41,2.575,23.9782222,5.9,8.81,19.85,6.91,19.35,7.9,8.88,4.8,7.37
01051137,Nordermeldorf,1537.0,93.33,89.63,17.68,0.58,61.75,57.38,65.44,100.0,100.0,99.9,7.73,8.92,8.455,15.964,8.6,8.78,8.18,5.89,11.74,6.4,8.0,11.88,8.36
01051138,Tensbüttel-Röst,1450.0,96.31,90.04,34.76,-0.03,58.25,57.85,58.71,100.0,99.9,89.5,7.71,9.07,7.735,18.7908621,7.43,8.87,15.83,7.2,13.64,6.9,8.12,8.58,8.72
01051139,Süderdorf,1791.0,91.54,91.54,22.02,0.28,59.28,55.43,62.75,100.0,100.0,100.0,4.74,10.87,-9999.0,22.0856364,6.05,6.73,17.88,5.1,16.83,6.4,6.8,5.75,5.83
01051140,Oesterwurth,3742.0,93.91,93.91,17.69,-0.16,67.76,75.32,60.0,100.0,100.0,100.0,5.01,16.38,6.54,12.3018182,7.29,6.44,12.7,5.96,12.31,5.2,5.76,11.51,5.23
01051141,Süderheistedt,1280.0,98.23,88.05,60.55,-1.55,67.9,70.13,65.88,100.0,100.0,96.4,5.24,9.0,7.93,11.205,6.82,9.3,9.23,6.27,7.46,6.1,6.43,8.47,6.87
01053001,Albsfelde,1028.0,100.0,100.0,16.99,-0.81,57.5,52.38,63.16,100.0,100.0,91.2,5.56,9.13,8.99,13.5277778,6.98,11.75,6.56,8.4,5.68,6.0,5.97,9.86,7.49
